step,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
83,0.33043541392159087,-0.002831731934909593,-0.002831488509873511,3.9603405334231925e-06,4.290757412910401e-06,0.00046693777772910904,0.00010143566958389768,0.0011368341227549269,1.6098803516256557e-05,-2.4272070412848716e-05,-1.8617923742756035e-05,0.0005361860105035175
84,0.33043558824756303,-0.0028317297101288067,-0.0028314477001213155,4.2266664279447975e-06,4.340362745349269e-06,0.000472317160668314,0.00010350542252948722,0.0011972455272141753,1.627757589226504e-05,-2.5639712812431713e-05,-1.883150614524129e-05,0.0005423622012717024
85,0.3304357813927265,-0.002831727783769899,-0.002831402682865474,4.510492493443687e-06,4.39052159786259e-06,0.00047775872069978913,0.00010550786079802619,0.0012608766442816965,1.6457965525534208e-05,-2.7084403785208086e-05,-1.904747008186527e-05,0.0005486096707701054
86,0.33043599540869956,-0.0028317262313348203,-0.0028313530334753427,4.812965623533977e-06,4.441236726019906e-06,0.0004832632010735135,0.00010742991674664973,0.0013278995367551354,1.663996140671009e-05,-2.861048184866026e-05,-1.9265836083962266e-05,0.0005549292585642655
87,0.3304362325713515,-0.0028317251350683777,-0.0028312982791244314,5.135307949964976e-06,4.492510468278795e-06,0.0004888313568681356,0.00010925731981250036,0.0013984954801093785,1.682355038492553e-05,-3.022252943075479e-05,-1.9486624322432195e-05,0.000561321816156065
88,0.3304364954054579,-0.002831724585515266,-0.002831237894336344,5.478821773281646e-06,4.544344691475828e-06,0.0004944639555199306,0.00011097450546738133,0.0014728554554803422,1.7008717002944048e-05,-3.192538651527713e-05,-1.9709854550872814e-05,0.0005677882073938587
89,0.33043678671205867,-0.0028317246831355888,-0.0028311712959330224,5.844894816837417e-06,4.596740730166732e-06,0.000500161777405048,0.00011256451792333336,0.0015511806688053077,1.7195443320266592e-05,-3.372416503832774e-05,-1.9935546043148727e-05,0.000574329308919464
90,0.3304371095988187,-0.002831725540012194,-0.0028310978373473116,6.235005824850768e-06,4.649699319496642e-06,0.000505925616480961,0.00011400890619119345,0.001633683097460206,1.7383708723172925e-05,-3.562426407536643e-05,-2.0163717524803482e-05,0.0005809460106566044
91,0.33043746751372166,-0.002831727281681992,-0.0028310168022533644,6.6507305265159774e-06,4.703220520626559e-06,0.000511756280994303,0.0001152876130714936,0.0017205860657938865,1.7573489720861566e-05,-3.7631385859437154e-05,-2.0394387097674e-05,0.0005876392163453544
92,0.3304378642824661,-0.0028317300491231224,-0.002830927397459359,7.093747989615976e-06,4.757303638135874e-06,0.0005176545942626808,0.00011637885663350251,0.0018121248510206728,1.776475972630075e-05,-3.975155267319974e-05,-2.0627572156966148e-05,0.0005944098441281916
93,0.33043830414997216,-0.0028317340009301377,-0.0028308287449984007,7.5658473885730195e-06,4.811947128410078e-06,0.0005236213955394776,0.00011725900371367634,0.0019085473209941046,1.7957488820839296e-05,-4.199112465891577e-05,-2.0863289300088714e-05,0.0006012588271932353
94,0.33043879182645064,-0.002831739315710751,-0.002830719873344087,8.068935213278001e-06,4.867148498099882e-06,0.0005296575409711967,0.00011790243493958454,0.0020101146054470635,1.815164350103831e-05,-4.435681859200274e-05,-2.110155422627418e-05,0.0006081871144816346
95,0.33043933253853747,-0.0028317461947392247,-0.0028305997076679508,8.605042946738091e-06,4.922904191616307e-06,0.0005357639046582627,0.00011828140075923788,0.0021171018023455035,1.834718640664207e-05,-4.685572766543351e-05,-2.134238162587606e-05,0.0006151956714663414
96,0.33043993208605077,-0.0028317548649040183,-0.002830467059045572,9.176335241294067e-06,4.979209466389831e-06,0.0005419413798317822,0.00011836586792924944,0.0022297987210643517,1.8544076027555247e-05,-4.9495342333486055e-05,-2.1585785058577836e-05,0.000622285481010556
97,0.33044059690498745,-0.002831765581990244,-0.0028303206125077605,9.785118624721039e-06,5.036058254699212e-06,0.0005481908801595019,0.00011812335588808425,0.002348510664154116,1.874226638875008e-05,-5.2283572264770206e-05,-2.1831776818678778e-05,0.0006294575443152388
98,0.33044133413744536,-0.0028317786343410316,-0.002830158913821355,1.0433850769684894e-05,5.093443010530073e-06,0.0005545133411964607,0.00011751876241335847,0.0024735592495243684,1.8941706710616314e-05,-5.522876945531438e-05,-2.208036778666437e-05,0.0006367128819659255
