step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
467,-502500000.0,-0.2030784487561649,0.36554120776109683
468,-510000000.0,-0.20238521321463546,0.36429338378634385
469,-517500000.0,-0.2016874437876065,0.3630373988176917
470,-525000000.0,-0.200984984813279,0.36177297266390224
471,-532500000.0,-0.20026842631730005,0.3604831673711401
472,-540000000.0,-0.1995541365821146,0.3591974458478063
473,-547500000.0,-0.19883625887698647,0.35790526597857564
474,-555000000.0,-0.19811351401303073,0.3566043252234553
475,-562500000.0,-0.19738554261096894,0.3552939766997441
476,-570000000.0,-0.19664277265692964,0.3539569907824734
477,-577500000.0,-0.19590171962016864,0.35262309531630354
478,-585000000.0,-0.19515647063096506,0.3512816471357371
479,-592500000.0,-0.19440571933822975,0.34993029480881355
480,-600000000.0,-0.1936396789618625,0.3485514221313525
481,-607500000.0,-0.19287482612651585,0.3471746870277285
482,-615000000.0,-0.19210522509235142,0.3457894051662326
483,-622500000.0,-0.19132956006033527,0.3443932081086035
484,-630000000.0,-0.19053795354122802,0.34296831637421044
485,-637500000.0,-0.18974699816018747,0.3415445966883375
486,-645000000.0,-0.18895072073804656,0.34011129732848383
487,-652500000.0,-0.188147787679129,0.3386660178224322
488,-660000000.0,-0.18732816103073419,0.3371906898553215
489,-667500000.0,-0.18650866124407547,0.33571559023933584
490,-675000000.0,-0.1856832568018826,0.3342298622433887
491,-682500000.0,-0.18484095548835375,0.33271371987903675
492,-690000000.0,-0.1839983553608379,0.3311970396495082
493,-697500000.0,-0.1831493858448817,0.32966889452078707
494,-705000000.0,-0.18228301909156105,0.3281094343648099
495,-712500000.0,-0.18141590168848756,0.3265486230392776
496,-720000000.0,-0.18053245231814463,0.32495841417266036
497,-727500000.0,-0.17964810517820912,0.32336658932077644
498,-735000000.0,-0.17875664328770408,0.3217619579178673
499,-742500000.0,-0.17784710091480976,0.3201247816466576
500,-750000000.0,-0.17693603154370552,0.31848485677866994
501,-757500000.0,-0.17601740859437032,0.3168313354698666
502,-765000000.0,-0.17508018259128005,0.3151443286643041
503,-772500000.0,-0.17414113630772426,0.3134540453539037
504,-780000000.0,-0.1731845814709663,0.31173224664773935
505,-787500000.0,-0.1722262120977568,0.31000718177596226
